                  ╭------------------------------------╮
             Name | Expand Options                     |
             Tags | Action                             |
             Cost |                                    |
         Consume1 | 2                                  |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 | Split an Opportunity stack         |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 |                                    |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Exchange of Ideas                  |
             Tags | Action                             |
             Cost |                                    |
         Consume1 | 1                                  |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 | Swap one available Opportunity wit |
                  | h another player from your purchas |
                  | e rows.                            |
         Consume2 | 2                                  |
 Consume2Resource | energy                             |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 | Swap two available Opportunities b |
                  | etween any two players.            |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Coordinate Efforts                 |
             Tags | Action                             |
             Cost |                                    |
         Consume1 | 3                                  |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 | Each other player gains 2 energy.  |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource | managers                           |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 |                                    |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Revisit Opportunities              |
             Tags | Action                             |
             Cost |                                    |
         Consume1 | 3                                  |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 | Discard your opportunity row. Shuf |
                  | fle your discard and place on top  |
                  | of your deck. Re-deal opportunitie |
                  | s.                                 |
         Consume2 | 4                                  |
 Consume2Resource | energy                             |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 | Discard your opportunity row. Shuf |
                  | fle your discard and opportunity d |
                  | eck together and re-deal.          |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Search for New Opportunities       |
             Tags | Action                             |
             Cost |                                    |
         Consume1 | 2                                  |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 | Min 1                              |
Required1Resource | managers                           |
          Action1 | Discard an opportunity per Manager |
                  | .                                  |
         Consume2 | 4                                  |
 Consume2Resource | energy                             |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 | For each X Managers, X different p |
                  | layers may discard one opportunity |
                  | .                                  |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Pass on Opportunity                |
             Tags | Action                             |
             Cost |                                    |
         Consume1 | 2                                  |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 | Pass an available opportunity the  |
                  | player on your left or right.      |
         Consume2 | 3                                  |
 Consume2Resource | energy                             |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 | Pass an available opportunity to a |
                  | ny player.                         |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Streamline                         |
             Tags | Action                             |
             Cost |                                    |
         Consume1 | 2                                  |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 | Trash a card on your tableau worth |
                  |  3 or more, Upgrade a resource     |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 |                                    |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Leadership Training                |
             Tags | Action, Organization               |
             Cost |                                    |
         Consume1 | 1                                  |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 |                                    |
         Consume2 | 1:1                                |
 Consume2Resource | scholars                           |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 | Gain 1 Expert per Scholar          |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Academic Ambitions                 |
             Tags | Action, Academic                   |
             Cost |                                    |
         Consume1 |                                    |
 Consume1Resource |                                    |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 |                                    |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 |                                    |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Translate Runes                    |
             Tags | Action, Academic, Organization     |
             Cost |                                    |
         Consume1 | 1:1                                |
 Consume1Resource | runes                              |
           Store1 |                                    |
   Store1Resource | writings                           |
        Required1 |                                    |
Required1Resource | linguist                           |
          Action1 |                                    |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 |                                    |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Interpret Writings                 |
             Tags | Action, Academic, Organization     |
             Cost |                                    |
         Consume1 | 1:X                                |
 Consume1Resource | writings                           |
           Store1 |                                    |
   Store1Resource | interpretations                    |
        Required1 | Min 1                              |
Required1Resource | theologians                        |
          Action1 |                                    |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 | One interpretation per theologian  |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Derive Doctrine                    |
             Tags | Action, Academic, Organization     |
             Cost |                                    |
         Consume1 | 8:1                                |
 Consume1Resource | interpretations                    |
           Store1 |                                    |
   Store1Resource | doctrine                           |
        Required1 |                                    |
Required1Resource | theologians                        |
          Action1 |                                    |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 | Reduce cost to 7/6/5 for 2/3/4 the |
                  | ologians                           |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Attempt To Communicate             |
             Tags | Action, Academic, Recon            |
             Cost |                                    |
         Consume1 | 1                                  |
 Consume1Resource | interpretation                     |
           Store1 |                                    |
   Store1Resource |                                    |
        Required1 | Min 1                              |
Required1Resource | linguists                          |
          Action1 |                                    |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 |                                    |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
                  ╭------------------------------------╮
             Name | Welcome Wagon                      |
             Tags | Action, Academic, Recon            |
             Cost |                                    |
         Consume1 | 3:1                                |
 Consume1Resource | energy                             |
           Store1 |                                    |
   Store1Resource | recons                             |
        Required1 |                                    |
Required1Resource |                                    |
          Action1 |                                    |
         Consume2 |                                    |
 Consume2Resource |                                    |
           Store2 |                                    |
   Store2Resource |                                    |
        Required2 |                                    |
Required2Resource |                                    |
          Action2 | -1 Secrecy                         |
          Action3 |                                    |
         BuffType |                                    |
       BuffAction |                                    |
                  ╰------------------------------------╯
